Company Name	Employee Count	Region Served
The Flying Bear	2567	USA, Japan
The Fox and Hound	18934	Europe, India, Australia
The Flying Hippo	24508	USA, Australia, China
The Goose and Duck	6091	USA, Australia, China
The Happy Bear	11685	India
The High Heelers	12015	India, Australia, Japan
The Independent Planners	6946	India
The Jolly Farmer	6034	Europe
The Lawn Guru	14084	India
The Network Chef	20843	China
The Pink Pig Tavern	24797	USA, Japan
The Polka Dot Bear Tavern	34345	Europe, India, Australia
The Serendipity Dip	9737	Europe
The Spotted Cougar	20690	Japan, India, China
The White Rabbit	9681	USA
The White Swan	31767	Japan, China, Europe
Titania	19156	India, Australia, Japan
Total Network Development	13243	Japan, China, Europe
Total Quality	19778	USA
Total Serve	13833	Japan
Total Sources	12253	USA, India, Europe
Archer Daniels Midland	2971	Australia
Total Yard Maintenance	2028	Europe, India, Australia
Total Yard Management	3488	USA, India, Europe
Universal Design Partners	24397	Japan, India, China
Universo Realtors	5475	Japan, India, China
Vari-Tec	32035	USA, Japan
Veramons	31233	USA
Vibrant Man	19170	China
Vitagee	28330	Japan
VitaGrey	28876	Australia
Vitamax Health Food Center	32623	India, Australia, Japan
Wealth Zone Group	2346	India, Australia, Japan
Wealthy Ideas	25577	India
Webcom Business Services	10433	USA, India, Europe
Wise Appraisals	16751	USA, Japan
Wise Solutions	33213	USA
World of Fun	5383	China
WWW Realty	14858	India, Australia, Japan
Xray Eye & Vision Clinics	30504	Australia
Zephyr Investments	516	Japan, China, Europe
Zig Zag Children Clothes	29189	USA, India, Europe
a21	15858	USA, Japan
Aaron's, Inc.	5471	Japan, China, Europe
Abbott Laboratories	16180	Japan, India, China
Abercrombie & Fitch	24807	Japan
ABM Industries	3515	China
ABX Air	17359	Japan, China, Europe
AC Lens	32709	Europe, India, Australia
ACCO Brands	18150	Europe
Accuquote	29408	India
Ace Hardware	6478	USA, Japan
Acme Brick Company	7080	USA, India, Europe
ACN Inc.	21918	Europe
Activision Blizzard	11542	India
Acuity Brands	23688	USA, India, Europe
ADC Telecommunications	20447	USA
Adaptec	28892	Japan, India, China
Adobe Systems Inc.	26040	USA
Advance Auto Parts	34622	Japan, India, China
Advanced Micro Devices	23095	USA, India, Europe
Advanced Processing & Imaging	5381	Japan
AECOM	14124	Japan, India, China
Aéropostale	18898	China
AES Corporation	16603	Australia
Aetna	14600	Europe
Affiliated Computer Services	5504	China
Aflac	13978	Japan, China, Europe
AGCO	19911	China
Agilent Technologies	14950	USA
AGL Resources	5966	Australia
Agriprocessors	28464	Europe, India, Australia
Air Products & Chemicals	13982	USA, Japan
Airgas	22005	USA, India, Europe
AirTran Holdings	16706	USA, Japan
AK Steel Holding	25864	Europe
Alaska Air Group	10199	USA, Australia, China
Albemarle Corporation	7464	USA, Australia, China
Albertsons LLC	10552	Europe, India, Australia
Alcoa	3505	USA, Japan
Aleris International	33715	Europe
Alexander & Baldwin	19458	China
Alienware	17483	India, Australia, Japan
Allegheny Energy	15945	Australia
Allegheny Technologies	27349	USA, Australia, China
Allen Organ Company	9310	Europe
Allergan	23603	India, Australia, Japan
Alliant Energy	27480	India
Alliant Techsystems	10463	USA, Japan
Allstate	32998	USA
Aloha Airlines	13825	Europe, India, Australia
Altec Lansing	3228	USA, Australia, China
Altria Group (formerly Philip Morris Companies)	14239	USA, India, Europe
Always (product)	9820	Australia
Amazon.com	24993	Europe
AMC Entertainment	22548	Australia
Advanced Micro Devices	12241	Europe, India, Australia
Ameren	34319	China
America Online	23882	USA, Australia, China
American Axle	27637	India, Australia, Japan
American Apparel	4697	Japan, India, China
American Broadcasting Company	21064	Japan
American Eagle Outfitters	27664	Japan, China, Europe
American Electric Power	11448	Australia
American Express	15194	USA, Australia, China
American Family Insurance	10475	Japan, India, China
American Financial Group	14127	Japan
American Greetings	23866	Australia
American Home Mortgage	31768	Europe, India, Australia
American International Group	5369	USA, Japan
American Reprographics Company	1139	USA
Amerigroup	10194	USA, Australia, China
Ameriprise Financial	32902	Japan, India, China
AmerisourceBergen	25711	Europe
AMETEK	33572	USA
Amgen	27409	USA, India, Europe
Amkor Technology	8297	India
Amphenol Corporation	8773	China
AMR Corporation	4621	Japan
American Airlines	31581	USA
Amtrak (National Railroad Passenger Corporation)	12497	Europe, India, Australia
Amy's Kitchen	24680	Japan, India, China
Anadarko Petroleum Corporation	12858	USA, Australia, China
Analog Devices	10488	USA, India, Europe
AnaSpec	8608	Europe
Anchor Bay Entertainment	9779	Europe, India, Australia
AND1	836	Europe, India, Australia
Anixter International	25150	Japan, India, China
Ann Taylor	509	China
Antec	7602	USA, India, Europe
AOL	29966	USA, Japan
Aon Corporation	15519	USA, Australia, China
Apache Software Foundation	27630	USA, India, Europe
Apollo Group	13582	China
Applebee's	17150	Japan, India, China
Apple Inc.	6774	Japan
Applied Biosystems	8174	USA, Australia, China
Applied Industrial Technologies	29976	USA, India, Europe
Applied Materials	3312	Japan, China, Europe
Aramark	6011	Europe, India, Australia
Arbitron	12676	USA
Arch Coal	23291	USA
Arctic Cat	11547	India, Australia, Japan
Ariba	26778	USA, Australia, China
Arizona Stock Exchange	11722	Japan
Arkeia Software	15337	USA, Japan
Armstrong World Industries	15271	China
Arrow Electronics	29522	India, Australia, Japan
Arryx	16950	USA, India, Europe
ArvinMeritor	32527	China
ASARCO (American Smelting And Refining Company)	983	Australia
Asbury Automotive Group	24117	Europe, India, Australia
Ashland Inc.	12460	Japan, India, China
AskMeNow	494	Japan, India, China
Aspyr Media	30263	Europe
Assurant	14309	Europe
Atmos Energy	33040	Europe, India, Australia
AT&T	10055	USA
Audiovox	3872	USA, Japan
Atari	6196	Japan, China, Europe
Autodesk	32922	India, Australia, Japan
Autoliv	18192	India
Automatic Data Processing	33943	Australia
AutoNation	2472	Europe
Auto-Owners Insurance	22116	USA
AutoZone	32563	China
Avaya	11048	India, Australia, Japan
Avery Dennison	27606	USA, Japan
Avis Budget Group	16650	China
Avnet	1662	Japan
Avon Products	9884	Japan, India, China
AVST	24471	Europe, India, Australia
Babcock and Wilcox	3512	Australia
Bain & Company	26253	USA
Bain Capital	25553	India
Baker Hughes	7825	India, Australia, Japan
Baldor Electric Company	1951	China
Ball Corp.	11343	Japan
Bank of America	940	Japan, China, Europe
Bank of New York Mellon	18577	USA, Japan
Barnes & Noble	27717	India
Bath & Body Works	3691	India
Baxter International	15312	China
Bebo	22172	India, Australia, Japan
BB&T Corporation	33796	Japan
B/E Aerospace	5900	USA
Bealls	8314	USA, Japan
BearingPoint	14949	China
Beazer Homes USA	12194	Japan, China, Europe
Bechtel	29000	USA
Beckman Coulter	12764	Australia
Becton Dickinson	34677	China
Bed Bath & Beyond	12475	India, Australia, Japan
Belk	2440	India
Belkin	14749	USA
Bellwether Technology Corporation	16381	Japan
Bemis Manufacturing Company	15724	Japan, China, Europe
Benchmark Electronics	34075	USA
W. R. Berkley	21285	USA
Berkshire Hathaway	3351	China
Berry Plastics	13573	USA, Japan
Best Buy	5469	Europe
BFG Technologies	5451	USA, Japan
Big Lots	21927	Japan, India, China
Biggby Coffee	24359	Japan, China, Europe
Bio-Rad Laboratories	21467	USA, Japan
Biomet	25218	USA, India, Europe
Birdwell	5703	Australia
BJ Services Company	17100	China
BJ's Wholesale Club	311	India, Australia, Japan
Black & Decker	8699	USA, Australia, China
BlackRock	20122	USA, India, Europe
Blockbuster Inc.	6043	USA
BlueLinx Holdings	11686	Japan, India, China
Blyth, Inc.	25104	China
BMC Software	6181	USA, India, Europe
BNSF Railway	16602	USA, Australia, China
Bob Evans Restaurants	1294	China
Boeing	12302	USA, India, Europe
Boise Cascade	31563	India
Borders Group	22439	Europe, India, Australia
BorgWarner	8810	USA, Japan
Bosch Brewing Company	28458	Europe
Bose Corporation	12775	Europe
Boston Acoustics	21947	Europe
Boston Scientific	14152	Japan
Boyd Gaming	4732	USA, India, Europe
Bradley Pharmaceuticals	10109	Japan
Briggs & Stratton	20734	China
Brightpoint	22702	China
Brinks	4943	USA
Brinker International	17608	USA, Japan
Bristol-Myers Squibb	1739	Australia
Broadcom	25122	Australia
Brookdale Senior Living	14519	USA, India, Europe
Brown-Forman Corporation	14029	Australia
Brunswick Corporation	18850	India, Australia, Japan
Bucyrus International	20374	Japan, China, Europe
Burger King Holdings	32939	India, Australia, Japan
Burlington Coat Factory	32476	India, Australia, Japan
Bushmaster Firearms International	29430	China
Butler America	33219	USA
CA, Inc.	30290	USA, India, Europe
Calista Corporation	20089	Japan
Calpine	10179	India, Australia, Japan
Capital One	1861	Japan, India, China
Carnival Corporation & plc	710	India, Australia, Japan
Carnival Cruise Lines	15537	India, Australia, Japan
Cartoon Network Studios	33405	India
Casco Bay Lines	11317	Australia
Caterpillar Inc.	6602	USA, Australia, China
CBS Corporation	18766	Japan, India, China
CDI Corporation	4587	Australia
Cerner Corporation	20775	Europe, India, Australia
C.H. Robinson Worldwide	14013	USA, Japan
Chem-Dry	17564	India, Australia, Japan
Chevron	25887	Japan, India, China
ChexSystems	4485	India
Chicago Bridge & Iron Company	29889	India, Australia, Japan
Chugach Alaska Corporation	25344	Europe, India, Australia
Chrysler	2989	Australia
CIGNA	13351	Japan, China, Europe
Citigroup	18299	China
Citrix	12379	Europe
Cisco Systems, Inc.	18975	USA, Japan
CKE Restaurants	24336	USA, Australia, China
Clear Channel Communications	29516	India
CNA	34294	Australia
CNET	25578	USA, Japan
The Coca-Cola Company	6535	USA, Japan
Cogent Communications	14202	USA, Australia, China
Cognizant Technology Solutions	1672	China
Cole Haan	31507	Japan, China, Europe
Colgate-Palmolive	198	Australia
Colt Defense	33131	Europe
Colt's Manufacturing Company	22881	Europe, India, Australia
Columbia Pictures	8456	Europe
Columbia Sussex	27947	Japan, India, China
Comcast	20128	China
Comodo	15851	India, Australia, Japan
ConocoPhillips	5813	Japan, India, China
Conseco	21727	Europe, India, Australia
Continental Airlines	19750	USA, Australia, China
Control Data Corporation (CDC)	13934	USA, Japan
Convergys Corp.	20311	Europe
Converse	26513	China
CoolTouch Monitors	26373	USA, Australia, China
Copeland's	25273	India, Australia, Japan
Corning Incorporated	20617	India, Australia, Japan
Corsair Memory	34391	USA, Japan
Costco	3293	Japan
Coventry Health Care	7059	USA, Japan
Crazy Eddie	3123	Australia
Crowley Maritime Corporation	16583	USA
CVS Pharmacy	19434	India
Danaher	29172	USA, Australia, China
Darden Restaurants	8372	USA
DaVita	7716	Japan
DC Comics	10801	Australia
DC Shoes	15103	India
Dean Foods	29511	Japan, China, Europe
Deere & Company	3959	Europe
Del Monte Foods	24304	India, Australia, Japan
Dell, Inc.	5064	Australia
Delphi	8965	China
Delta Air Lines	34392	Japan, India, China
Dereon	12155	Europe, India, Australia
Devon Energy	32594	Japan, India, China
Dex One	18929	Australia
Dick's Sporting Goods	28783	USA, Japan
DiC Entertainment	16553	India, Australia, Japan
Diebold	3407	India
Digi-Key	11021	USA, Australia, China
Dillard's	1519	Australia
DineEquity	6508	China
Dippin' Dots	15901	Europe
DirecTV	27504	Japan
Discover Financial Services	5887	Australia
Discovery Communications	18450	USA
DISH Network	17939	USA
The Walt Disney Company	11362	Japan, China, Europe
DivX, Inc.	19708	USA, India, Europe
Doculabs	25602	Japan, China, Europe
Dole Foods	33407	Japan
Dollar General	1352	India, Australia, Japan
Dollar Tree	29106	Japan, India, China
Dominion Resources	4054	Japan, India, China
Domtar	3720	India, Australia, Japan
R. R. Donnelley & Sons	24455	Japan, China, Europe
Dover Corporation	12334	USA
Dow Chemical Company	32296	Japan, India, China
Dow Jones & Company	19775	Japan, India, China
Dr Pepper Snapple Group	20918	India, Australia, Japan
Dresser Inc.	34872	India
DRS Technologies	14800	Europe
DST Systems	4870	Australia
DTE Energy	26711	USA, Japan
Duke Energy	17096	Japan, China, Europe
Dun & Bradstreet	15472	Europe
DuPont (E.I. du Pont de Nemours)	8058	Japan, India, China
DynCorp International	13433	USA
Dynegy	32572	Japan, India, China
Eastman Chemical Company	23262	USA, Japan
Eastman Kodak	13655	Japan, China, Europe
eBay	3728	India, Australia, Japan
Ecolab	3566	Europe
Eddie Bauer	32772	USA, Japan
El Paso Corp.	11987	China
Electric Boat	13376	USA, Japan
Electronic Arts	23840	Europe, India, Australia
Electronic Data Systems	33839	Europe
Eli Lilly and Company	28972	India
Elizabeth Arden	33007	Europe
EMC Corporation	8496	India
Emcor	31176	Europe, India, Australia
Emerson Electric Company	30818	Europe, India, Australia
Emerson Radio	398	Europe, India, Australia
Energizer Holdings	32988	India
Energy East	10430	China
Enterasys Networks	23139	Europe
Entergy	29264	Japan, India, China
Enterprise GP Holdings	3333	India
Equifax	17042	USA
Erie Insurance Group	29647	Australia
Esselte	28127	Japan, China, Europe
Estée Lauder Companies	16416	India
Eureka	32583	USA, Australia, China
Exelon Corporation	23288	USA, Japan
Expeditors International	9727	USA
Express Scripts Incorporated	33967	USA
ExxonMobil	4258	USA, India, Europe
Fabrik Inc.	1114	USA
facebook	4864	Europe, India, Australia
Fairchild Semiconductor	20858	USA, Japan
FedEx	8411	USA, Australia, China
Fender Musical Instruments Corporation	33717	India, Australia, Japan
Fidelity Investments	493	Europe
FileMaker Inc., formerly Claris Corp.	29694	Australia
Firestone Tire and Rubber Company	15476	Australia
First Hawaiian Bank	13751	USA, Australia, China
Fiserv	31566	India, Australia, Japan
Fisher Electronics	26747	China
Fisker Automotive	26348	Europe
Fluor Corp	22946	USA, India, Europe
Ford Motor Company	5075	USA, India, Europe
Forum Communications	13381	USA
Fox Film Corporation	1334	USA, Australia, China
Frasca International	21338	Japan, India, China
Fred Meyer, Inc.	12437	Japan
FreeWave Technologies	3600	Europe, India, Australia
Fresh&Easy Neighbourhood Market	28366	Europe
Frontier Airlines	33394	China
Fruit of the Loom	11270	Europe, India, Australia
Federal Home Loan Mortgage Corporation	22566	USA, Japan
Federal National Mortgage Association	4984	Australia
Gap	19093	Europe
Garmin	19396	USA
Gartner	15075	USA, Japan
Gateway Computers	8871	China
Gatorade	26647	USA
GEICO	21229	USA, India, Europe
Gemini Sound Products	2320	Japan, China, Europe
General Communication	570	Europe, India, Australia
General Dynamics	24406	Australia
General Electric	3594	Europe
GE Consumer & Industrial	10633	China
General Mills	32673	Australia
General Motors	28324	Europe, India, Australia
Gentiva Health Services	28510	India, Australia, Japan
Georgia Pacific	9169	USA, Australia, China
GTECH	29650	Japan
Giant Food	31670	USA, Australia, China
Gibson Guitar Corporation	3680	USA
Gillette (brand)	31408	Japan
GHD Inc.	2365	Europe, India, Australia
Global Insight	28418	Australia
Go Daddy	14237	Japan, China, Europe
Goldman Sachs	27131	India
Goodrich Corporation	11832	Japan, China, Europe
Goodyear Tire and Rubber Company	29688	USA
Google	19868	Australia
Ground Round	30984	Europe, India, Australia
Group O	21587	Japan, India, China
Growmark	9197	China
H&R Block	8310	Australia
Hallmark Cards	31847	China
Halliburton	10675	USA, India, Europe
Hardee's	4365	Japan
Harley-Davidson	22924	India
Harman International Industries	21219	USA
Hasbro	10639	India, Australia, Japan
Hastings Entertainment	27693	Japan, India, China
Hawaiian Airlines	26024	China
H-E-B	5178	USA, Japan
The Hertz Corporation	34484	Japan
Hewlett-Packard	32600	Japan, India, China
Hi-Point Firearms	17500	China
Hilton Hotels Corporation	5560	India
H. J. Heinz Company	31685	USA, India, Europe
Home City Ice Co.	9380	USA, Australia, China
Home Depot	13299	USA
Honeywell	30222	USA, Australia, China
Hornbeck Offshore Services	30881	USA
Hot Topic	23635	Europe, India, Australia
Houchens Industries	18162	Japan
Houlihan's	8654	Japan
Human Kinetics	32341	China
Hunt Petroleum	269	China
Hyland Software	12239	Japan
Ideal Industries	12060	USA, India, Europe
Imation	9856	Japan, China, Europe
Informix	33945	Japan, China, Europe
Infor	14610	USA, India, Europe
Intel	31141	USA, India, Europe
Intercontinental Manufacturing Company	28663	USA
International Business Machines (IBM)	27942	Japan
International Game Technology (IGT)	34552	India
International Paper	9232	China
