Company Name	Status	LeadId	Date	User Email
Brilliant Home Designs	Qualified	98862FC0	2024-04-17	Reply@Brilliant Home Designs.com
Capitalcorp	New	24BB1744	2024-03-08	Reply@Capitalcorp.com
Castle Realty	Cold	6DA7DED3	2024-04-15	Reply@Castle Realty.com
Chargepal	Disqualified	FDE4D46B	2024-01-16	Reply@Chargepal.com
Choices	New	55F0E2C9	2024-04-17	Reply@Choices.com
Circuit Design	Cold	2C8B0B5B	2024-03-01	Reply@Circuit Design.com
Complete Tech	On-hold	7F58EFAF	2024-04-07	Reply@Complete Tech.com
Corinthian Designs	Cold	CE3745CA	2024-04-24	Reply@Corinthian Designs.com
Corpbay	Cold	D8C77575	2024-04-13	Reply@Corpbay.com
Cougar Investment	Qualified	08F25F40	2024-01-29	Reply@Cougar Investment.com
Crazy Tiger	Reengaged	572AA5E0	2024-04-17	Reply@Crazy Tiger.com
Creative Wealth	On-hold	FD760C44	2024-03-30	Reply@Creative Wealth.com
Creative Wealth Management	Contacted	AC8DFD1B	2024-02-21	Reply@Creative Wealth Management.com
Custom Lawn Care	In Progress	4E414DDA	2024-01-18	Reply@Custom Lawn Care.com
Custom Lawn Service	Warm 	857E3135	2024-02-19	Reply@Custom Lawn Service.com
Cut Above	Nurturing	1A6A556E	2024-03-08	Reply@Cut Above.com
Cut Rite	Negotiation	BD82AA76	2024-03-16	Reply@Cut Rite.com
Cut Rite Lawn Care	In Progress	FFAC9BEE	2024-02-28	Reply@Cut Rite Lawn Care.com
Datacorp	Nurturing	7D52EB5A	2024-01-14	Reply@Datacorp.com
Desert Garden Help	Referral	A9DA31CD	2024-03-09	Reply@Desert Garden Help.com
Destiny Planners	Warm 	4EF089DB	2024-04-04	Reply@Destiny Planners.com
Destiny Realty	Warm 	02C38C05	2024-04-13	Reply@Destiny Realty.com
Destiny Realty Solutions	Closed-Lost	3B349F98	2024-03-18	Reply@Destiny Realty Solutions.com
Dream Home Improvements	On-hold	1D19500A	2024-03-11	Reply@Dream Home Improvements.com
Dream Home Real Estate Service	Referral	73E9D3EE	2024-02-15	Reply@Dream Home Real Estate Service.com
Dreamscape Garden Care	On-hold	1AFFE457	2024-01-27	Reply@Dreamscape Garden Care.com
Dun Rite Lawn Care	Disqualified	C37A63CA	2024-03-15	Reply@Dun Rite Lawn Care.com
Dun Rite Lawn Maintenance	Negotiation	3E44C9C7	2024-04-23	Reply@Dun Rite Lawn Maintenance.com
Dynatronics Accessories	Cold	79CBCD9E	2024-01-27	Reply@Dynatronics Accessories.com
E-zhe Source	Reengaged	F0A201AA	2024-02-04	Reply@E-zhe Source.com
Earthworks Garden Kare	Referral	3B580083	2024-03-17	Reply@Earthworks Garden Kare.com
Earthworks Yard Maintenance	Proposal Sent	567C00C6	2024-04-06	Reply@Earthworks Yard Maintenance.com
Eden Lawn Service	Nurturing	7E2E390C	2024-01-09	Reply@Eden Lawn Service.com
Edge Garden Services	Proposal Sent	1A4AFC61	2024-03-11	Reply@Edge Garden Services.com
Edge Yard Service	Qualified	8E83E981	2024-01-26	Reply@Edge Yard Service.com
Ejecta	Nurturing	CAA88A07	2024-01-08	Reply@Ejecta.com
Electronic Geek	Closed-Won	3C205675	2024-03-25	Reply@Electronic Geek.com
Electronics Source	In Progress	DD06DE15	2024-03-10	Reply@Electronics Source.com
Enrich Garden Services	Negotiation	4973C734	2024-03-04	Reply@Enrich Garden Services.com
Enviro Architectural Designs	Closed-Lost	2BA72B20	2024-02-23	Reply@Enviro Architectural Designs.com
Environ Architectural Design	Referral	F6D5737E	2024-01-21	Reply@Environ Architectural Design.com
EnviroSource Design	Closed-Won	5AB8E41D	2024-02-15	Reply@EnviroSource Design.com
Envirotecture Design	New	8E718D34	2024-02-24	Reply@Envirotecture Design.com
Envirotecture Design Service	Proposal Sent	BEE3E77C	2024-04-23	Reply@Envirotecture Design Service.com
Exact Realty	Negotiation	4A230D36	2024-02-02	Reply@Exact Realty.com
Exact Solutions	Cold	331BD5BF	2024-03-14	Reply@Exact Solutions.com
Excella	Negotiation	D20B2502	2024-01-27	Reply@Excella.com
Express Merchant Service	Warm 	54BB1A89	2024-04-26	Reply@Express Merchant Service.com
Fellowship Investments	Qualified	93727EF8	2024-02-28	Reply@Fellowship Investments.com
Fireball	Referral	2FC86799	2024-02-13	Reply@Fireball.com
First Choice Garden Maintenance	Negotiation	599EA57A	2024-04-29	Reply@First Choice Garden Maintenance.com
First Choice Yard Help	Cold	DA31A7A1	2024-03-10	Reply@First Choice Yard Help.com
First Rate Choice	Nurturing	98084440	2024-02-26	Reply@First Rate Choice.com
Fit Tonic	New	6FF3B0AB	2024-03-14	Reply@Fit Tonic.com
Flexus	Negotiation	4D051A4F	2024-01-03	Reply@Flexus.com
Formula Gray	Reengaged	73D63326	2024-03-13	Reply@Formula Gray.com
Formula Grey	Closed-Lost	07C2C93B	2024-02-17	Reply@Formula Grey.com
Four Leaf Clover	Closed-Lost	ACD7AF1F	2024-01-13	Reply@Four Leaf Clover.com
Fragrant Flower Lawn Services	Closed-Lost	8A9DDF0A	2024-04-09	Reply@Fragrant Flower Lawn Services.com
Freedom Map	Closed-Lost	17DD712F	2024-03-21	Reply@Freedom Map.com
Fresh Start	Nurturing	7DB2C94F	2024-04-27	Reply@Fresh Start.com
Friendly Advice	Negotiation	9BF7DBA4	2024-01-08	Reply@Friendly Advice.com
Friendly Interior Design	Closed-Won	533C855E	2024-03-02	Reply@Friendly Interior Design.com
Full Color	Disqualified	8DCB8096	2024-03-21	Reply@Full Color.com
Future Bright	Proposal Sent	AA2F4240	2024-04-12	Reply@Future Bright.com
Future Plan	Reengaged	28B3CF64	2024-01-12	Reply@Future Plan.com
Galaxy Man	New	51BB4E22	2024-03-26	Reply@Galaxy Man.com
Gamma Gas	Nurturing	723C59A4	2024-01-22	Reply@Gamma Gas.com
Gamma Grays	Reengaged	6446F3A7	2024-01-11	Reply@Gamma Grays.com
Gamma Realty	Negotiation	3AD9F776	2024-03-10	Reply@Gamma Realty.com
Garden Guru	New	78343261	2024-01-26	Reply@Garden Guru.com
Garden Master	Negotiation	5D9D47D0	2024-02-14	Reply@Garden Master.com
Gas Depot	Closed-Lost	7AB16D9F	2024-04-12	Reply@Gas Depot.com
Gas Legion	Referral	042C597D	2024-03-02	Reply@Gas Legion.com
Gas Zone	Disqualified	AB227B45	2024-03-09	Reply@Gas Zone.com
Gold Leaf Garden Management	Contacted	94E977C3	2024-02-08	Reply@Gold Leaf Garden Management.com
Gold Touch	Proposal Sent	3EA1B49B	2024-04-30	Reply@Gold Touch.com
Golden Joy	New	5B0968AD	2024-01-28	Reply@Golden Joy.com
Good Times	Qualified	38EEEBDE	2024-01-02	Reply@Good Times.com
Grade A Investment	Reengaged	BBBB94DA	2024-03-26	Reply@Grade A Investment.com
Grass Roots Yard Services	Reengaged	ED1C6F27	2024-02-11	Reply@Grass Roots Yard Services.com
Grey Fade	In Progress	7CAAEA08	2024-03-01	Reply@Grey Fade.com
Greyvoid	Closed-Lost	AAA87720	2024-04-24	Reply@Greyvoid.com
Happy Bear Investment	Referral	D746728F	2024-01-19	Reply@Happy Bear Investment.com
Happy Family	Qualified	4DB3A813	2024-03-10	Reply@Happy Family.com
Helios Air	Reengaged	ADACE91C	2024-03-20	Reply@Helios Air.com
Helping Hand	Nurturing	90EB8B17	2024-02-28	Reply@Helping Hand.com
Honest Air Group	New	9206CC8B	2024-03-29	Reply@Honest Air Group.com
House of Gas	Negotiation	17CA1E6C	2024-04-01	Reply@House of Gas.com
Hoyden	Referral	93CEBB35	2024-01-27	Reply@Hoyden.com
Idea Infinity	Contacted	8E39E766	2024-03-26	Reply@Idea Infinity.com
Ideal Garden Maintenance	Closed-Lost	184010CA	2024-03-04	Reply@Ideal Garden Maintenance.com
Ideal Garden Management	Closed-Lost	F1C024B0	2024-02-23	Reply@Ideal Garden Management.com
Incluesiv	Referral	D02015DC	2024-04-06	Reply@Incluesiv.com
Independent Investors	Warm 	06450738	2024-02-05	Reply@Independent Investors.com
Independent Wealth Management	Closed-Lost	15963CB6	2024-01-21	Reply@Independent Wealth Management.com
Indiewealth	Closed-Won	27AC1424	2024-03-04	Reply@Indiewealth.com
Infinite Wealth	Cold	550C3230	2024-04-02	Reply@Infinite Wealth.com
Infinite Wealth Planners	Nurturing	87ED1855	2024-02-29	Reply@Infinite Wealth Planners.com
Infinity Investment Plan	Warm 	5456C983	2024-02-08	Reply@Infinity Investment Plan.com
Integra Design	New	89804A5A	2024-03-06	Reply@Integra Design.com
Integra Investment Plan	Proposal Sent	2FF50150	2024-04-24	Reply@Integra Investment Plan.com
Integra Investment Service	Warm 	3DF6855B	2024-03-22	Reply@Integra Investment Service.com
Integra Wealth	Contacted	3F42A9CE	2024-02-04	Reply@Integra Wealth.com
Integra Wealth Planners	Warm 	3AC0BC24	2024-02-21	Reply@Integra Wealth Planners.com
Intelacard	Closed-Lost	02507117	2024-04-03	Reply@Intelacard.com
Intelli Wealth Group	New	70B80C8D	2024-03-31	Reply@Intelli Wealth Group.com
Jackhammer Technologies	Referral	0EEB5475	2024-01-05	Reply@Jackhammer Technologies.com
Jackpot Consultant	New	A02A13EB	2024-01-11	Reply@Jackpot Consultant.com
Just For Fun	Closed-Lost	3279C0D4	2024-04-11	Reply@Just For Fun.com
Knockout Kickboxing	Disqualified	6943697A	2024-02-24	Reply@Knockout Kickboxing.com
Komerci	Disqualified	BBF4E213	2024-02-10	Reply@Komerci.com
Konsili	Warm 	01EC640B	2024-03-10	Reply@Konsili.com
Landskip Yard Care	Disqualified	F0A8E5C3	2024-02-20	Reply@Landskip Yard Care.com
Landskip Yard Service	Nurturing	D4CA8CCF	2024-01-19	Reply@Landskip Yard Service.com
Las Vegas Yard Management	Nurturing	E7CF3917	2024-02-06	Reply@Las Vegas Yard Management.com
Lawn N' Order Garden Care	New	EB5B6639	2024-01-22	Reply@Lawn N' Order Garden Care.com
Lawnscape Garden Maintenance	Cold	88C1FF7D	2024-03-17	Reply@Lawnscape Garden Maintenance.com
Lazysize	New	1D436588	2024-01-06	Reply@Lazysize.com
Libera	New	CDB84AE1	2024-01-21	Reply@Libera.com
Liberty Wealth Planner	Closed-Lost	CB364BC0	2024-02-03	Reply@Liberty Wealth Planner.com
Liberty Wealth Planners	Contacted	1DEEDB2F	2024-01-01	Reply@Liberty Wealth Planners.com
Life Map	Reengaged	0A8C38AA	2024-04-30	Reply@Life Map.com
Life Map Planners	Proposal Sent	F6195FB3	2024-03-25	Reply@Life Map Planners.com
Life Plan Counselling	Cold	D9E92032	2024-01-09	Reply@Life Plan Counselling.com
Life's Gold	Closed-Lost	D9348AE6	2024-01-18	Reply@Life's Gold.com
Listen Up	On-hold	659289EB	2024-03-29	Reply@Listen Up.com
Locost Accessories	Negotiation	D69172D9	2024-03-30	Reply@Locost Accessories.com
Lone Wolf Wealth Planning	Qualified	D569B635	2024-01-31	Reply@Lone Wolf Wealth Planning.com
Macroserve	Nurturing	C8770743	2024-02-24	Reply@Macroserve.com
Magna Architectural Design	New	453E9494	2024-03-19	Reply@Magna Architectural Design.com
Magna Consulting	Qualified	C13EA025	2024-01-21	Reply@Magna Consulting.com
Magna Solution	Proposal Sent	B4922B49	2024-04-21	Reply@Magna Solution.com
Matrix Architectural Service	Negotiation	279CE665	2024-03-28	Reply@Matrix Architectural Service.com
Magik Gray	New	23255462	2024-03-18	Reply@Magik Gray.com
Magik Grey	Proposal Sent	86189FE0	2024-02-29	Reply@Magik Grey.com
Magik Lamp	Proposal Sent	0E1AF737	2024-04-09	Reply@Magik Lamp.com
Magna Architectural Design	Reengaged	91C51D83	2024-01-18	Reply@Magna Architectural Design.com
Magna Gases	Negotiation	D4431CD0	2024-01-30	Reply@Magna Gases.com
Magna Wealth	Negotiation	F16E5315	2024-04-15	Reply@Magna Wealth.com
MagnaSolution	On-hold	91968B78	2024-03-26	Reply@MagnaSolution.com
ManCharm	Closed-Won	A4C0D8EA	2024-02-21	Reply@ManCharm.com
ManPower	Reengaged	0840C242	2024-03-27	Reply@ManPower.com
Manu Connection	Proposal Sent	E2D86091	2024-01-11	Reply@Manu Connection.com
Maxaprofit	Reengaged	9B108555	2024-01-05	Reply@Maxaprofit.com
Master Builder Design Services	Negotiation	F5435D23	2024-02-10	Reply@Master Builder Design Services.com
Matrix Architectural Service	Nurturing	000552F3	2024-02-04	Reply@Matrix Architectural Service.com
Matrix Design	Closed-Won	1032E17C	2024-04-28	Reply@Matrix Design.com
Matrix Interior Design	Disqualified	9C326E3A	2024-02-17	Reply@Matrix Interior Design.com
Maxi-Tech	New	CE79FD97	2024-03-24	Reply@Maxi-Tech.com
Maxiserve	Disqualified	C2965E6D	2024-02-17	Reply@Maxiserve.com
MegaSolutions	Contacted	A8701C32	2024-04-06	Reply@MegaSolutions.com
Megatronic	Referral	D0100A4A	2024-01-06	Reply@Megatronic.com
Megatronic Plus	Nurturing	1BFE20DA	2024-04-04	Reply@Megatronic Plus.com
Merrymaking	New	3588CF22	2024-03-07	Reply@Merrymaking.com
Micro Design	On-hold	F25653AF	2024-01-21	Reply@Micro Design.com
Mikro Designs	Closed-Won	70FD3BA2	2024-04-02	Reply@Mikro Designs.com
Mikrotechnic	Negotiation	09535471	2024-02-28	Reply@Mikrotechnic.com
Millenia Life	In Progress	248451CE	2024-03-16	Reply@Millenia Life.com
Mission G	Disqualified	B37AA16B	2024-02-21	Reply@Mission G.com
Mission Realty	Disqualified	720F70D9	2024-04-18	Reply@Mission Realty.com
Mission You	Proposal Sent	56637118	2024-02-02	Reply@Mission You.com
Modern Architecture Design	New	719B4F69	2024-04-14	Reply@Modern Architecture Design.com
Modern Realty	Closed-Won	A40AE34D	2024-03-17	Reply@Modern Realty.com
Monit	Warm 	902CA64A	2024-01-30	Reply@Monit.com
Monlinks	Warm 	1CAAD08D	2024-03-05	Reply@Monlinks.com
Monk Home Funding Services	Warm 	5E797417	2024-03-30	Reply@Monk Home Funding Services.com
Monk Home Improvements	Warm 	7438B7F6	2024-04-27	Reply@Monk Home Improvements.com
Monk Home Loans	New	68C9F6DF	2024-03-28	Reply@Monk Home Loans.com
Monk House Maker	Disqualified	C5069152	2024-03-07	Reply@Monk House Maker.com
Monk House Sales	Nurturing	1CAAC8A3	2024-02-12	Reply@Monk House Sales.com
Monk Real Estate Service	Contacted	F0578A3E	2024-03-25	Reply@Monk Real Estate Service.com
Monmax	Closed-Lost	26BBBB2F	2024-04-15	Reply@Monmax.com
Monsource	Referral	3A56EA84	2024-02-06	Reply@Monsource.com
Multi-Systems Merchant Services	New	997D5AF9	2024-01-20	Reply@Multi-Systems Merchant Services.com
Multi Tech Development	Referral	A0FFAEEC	2024-04-23	Reply@Multi Tech Development.com
Multicerv	New	3FB93BAF	2024-01-20	Reply@Multicerv.com
Muscle Factory	Closed-Lost	F96791E6	2024-02-11	Reply@Muscle Factory.com
Naturohair	New	C83F7587	2024-02-04	Reply@Naturohair.com
Netaid	Referral	DCC89174	2024-03-24	Reply@Netaid.com
Netobill	Warm 	AF75F084	2024-01-17	Reply@Netobill.com
Netcom Business Services	Referral	7AD02EAB	2024-04-04	Reply@Netcom Business Services.com
Netcore	Closed-Won	83DC69F4	2024-04-22	Reply@Netcore.com
Netstars Matrix Design	Contacted	A16BEEAE	2024-01-28	Reply@Netstars Matrix Design.com
Network Air	Closed-Lost	1772519A	2024-01-09	Reply@Network Air.com
New World	Reengaged	97BEDF3A	2024-04-15	Reply@New World.com
New World Realty	Nurturing	7F19E718	2024-03-27	Reply@New World Realty.com
Newhair	Warm 	B2642302	2024-02-23	Reply@Newhair.com
Northern Star	Closed-Lost	2CE637BD	2024-02-09	Reply@Northern Star.com
Nutri G	Disqualified	F6DECCC1	2024-01-18	Reply@Nutri G.com
Omni Architectural Designs	Warm 	A0F7E3BB	2024-03-06	Reply@Omni Architectural Designs.com
Omni Realty	Cold	6B5786C4	2024-01-17	Reply@Omni Realty.com
Omni Source	Disqualified	E866CCD8	2024-01-27	Reply@Omni Source.com
Omni Tech	Reengaged	42CCD1A7	2024-04-19	Reply@Omni Tech.com
Omni Tech Solutions	Warm 	98F514FB	2024-02-18	Reply@Omni Tech Solutions.com
One-Up Realtors	Referral	6CE2D9CE	2024-03-04	Reply@One-Up Realtors.com
One-Up Realty	Closed-Won	FD2A0C35	2024-03-17	Reply@One-Up Realty.com
Opti-Tek	Disqualified	E7CC2AA8	2024-04-26	Reply@Opti-Tek.com
Opticomp	Warm 	6D39F852	2024-03-31	Reply@Opticomp.com
Orion	Cold	CA94C013	2024-03-10	Reply@Orion.com
Parts and Pieces	Closed-Won	3809D392	2024-02-20	Reply@Parts and Pieces.com
Alaska Air Group	Warm 	3A62902C	2024-01-24	Reply@Alaska Air Group.com
Pearl Architectural Design	Closed-Won	5AAD3E40	2024-01-20	Reply@Pearl Architectural Design.com
Perisolution	Closed-Won	42EC6C15	2024-04-18	Reply@Perisolution.com
Personal & Corporate Design	Reengaged	A92C4FA7	2024-02-07	Reply@Personal & Corporate Design.com
Plan Future	In Progress	88A88394	2024-01-11	Reply@Plan Future.com
Plan Smart	In Progress	771870BD	2024-02-25	Reply@Plan Smart.com
Plan Smart Partner	Cold	A72DD6E5	2024-01-04	Reply@Plan Smart Partner.com
Planet Profit	Contacted	4C6CAB0E	2024-04-05	Reply@Planet Profit.com
Planetbiz	Contacted	A1592F23	2024-01-24	Reply@Planetbiz.com
Platinum Interior Design	Warm 	57AF0690	2024-04-09	Reply@Platinum Interior Design.com
Pointers	Negotiation	2D85E0C8	2024-03-06	Reply@Pointers.com
Powerbod	On-hold	6C17AF99	2024-02-07	Reply@Powerbod.com
Practi-Plan	New	4CAD5DB5	2024-02-02	Reply@Practi-Plan.com
Practi-Plan Mapping	Disqualified	26B41C0C	2024-01-02	Reply@Practi-Plan Mapping.com
Prahject Planner	Proposal Sent	4EBBBC26	2024-01-15	Reply@Prahject Planner.com
Prestiga-Biz	Nurturing	47E1B077	2024-01-25	Reply@Prestiga-Biz.com
Prestigabiz	On-hold	D1CA5A36	2024-01-19	Reply@Prestigabiz.com
Pro-Care Garden Maintenance	Cold	CA2FA7A1	2024-01-26	Reply@Pro-Care Garden Maintenance.com
Pro Garden Management	Referral	115FFD17	2024-04-29	Reply@Pro Garden Management.com
Pro Property Maintenance	Closed-Won	5A70445C	2024-02-09	Reply@Pro Property Maintenance.com
Pro Star	Proposal Sent	02E81491	2024-01-17	Reply@Pro Star.com
Pro Star Garden Management	Closed-Lost	FABD8EC7	2024-04-22	Reply@Pro Star Garden Management.com
Pro Yard Services	Qualified	2B89031F	2024-03-24	Reply@Pro Yard Services.com
Profitpros	In Progress	BBB6216E	2024-04-29	Reply@Profitpros.com
Prospa-Pal	Negotiation	DB9B91ED	2024-02-16	Reply@Prospa-Pal.com
Protean	New	487ACB2E	2024-01-10	Reply@Protean.com
Quality Event Planner	On-hold	FB83F12A	2024-02-08	Reply@Quality Event Planner.com
Quality Merchant Services	In Progress	3B3E096A	2024-03-02	Reply@Quality Merchant Services.com
Quality Realty Service	Reengaged	E6CEEC99	2024-03-03	Reply@Quality Realty Service.com
Quest Technology Service	Reengaged	CDC29E65	2024-01-13	Reply@Quest Technology Service.com
Quickbiz	Qualified	EB7C3585	2024-01-03	Reply@Quickbiz.com
Rainbow Life	Disqualified	FB36C704	2024-03-05	Reply@Rainbow Life.com
Realty Depot	Disqualified	FE88E5D8	2024-03-30	Reply@Realty Depot.com
Realty Solution	Cold	D3ADD731	2024-01-07	Reply@Realty Solution.com
Realty Zone	On-hold	925BA393	2024-04-30	Reply@Realty Zone.com
Red Bears Tavern	Negotiation	DD523A39	2024-02-13	Reply@Red Bears Tavern.com
Red Fox Tavern	Nurturing	59E60490	2024-01-09	Reply@Red Fox Tavern.com
Reliable Garden Management	Closed-Lost	788624F0	2024-01-25	Reply@Reliable Garden Management.com
Reliable Guidance	In Progress	2A651AC0	2024-03-08	Reply@Reliable Guidance.com
Reliable Investments	Nurturing	62C97366	2024-01-13	Reply@Reliable Investments.com
Rich and Happy	Closed-Lost	47E547D3	2024-04-10	Reply@Rich and Happy.com
Rite Solution	Proposal Sent	7C9F7D5F	2024-01-11	Reply@Rite Solution.com
Rivera Property Maintenance	Contacted	C44BC132	2024-01-17	Reply@Rivera Property Maintenance.com
Road Runner Lawn Services	Disqualified	B917E232	2024-01-12	Reply@Road Runner Lawn Services.com
Romp	New	67EA6580	2024-04-21	Reply@Romp.com
Royal Gas	Contacted	B6499089	2024-02-20	Reply@Royal Gas.com
Sexy Babe	Cold	F3C8C97C	2024-01-25	Reply@Sexy Babe.com
Seksi Ladi	Referral	8D3F9009	2024-01-14	Reply@Seksi Ladi.com
Seksi Lady	Disqualified	AB179BE5	2024-04-29	Reply@Seksi Lady.com
Sexsi Senorita	Closed-Lost	51CB4CDB	2024-04-30	Reply@Sexsi Senorita.com
Sky High Financial Advice	In Progress	90F1CD02	2024-04-16	Reply@Sky High Financial Advice.com
Signa Air	Negotiation	E7A86D95	2024-01-13	Reply@Signa Air.com
Simple Solutions	Warm 	EBE11239	2024-01-04	Reply@Simple Solutions.com
Simply Appraisals	Proposal Sent	EE9A7439	2024-04-16	Reply@Simply Appraisals.com
Simply Save	Qualified	8FD1B4D7	2024-01-15	Reply@Simply Save.com
Sistemos	Referral	C2ECAF3D	2024-04-23	Reply@Sistemos.com
Solid Future	Referral	737BC862	2024-03-09	Reply@Solid Future.com
Solution Answers	Negotiation	DF413FCB	2024-02-22	Reply@Solution Answers.com
Solution Bridge	Proposal Sent	DE063079	2024-04-19	Reply@Solution Bridge.com
Solution Realty	In Progress	48243885	2024-02-04	Reply@Solution Realty.com
Specific Appraisals	Nurturing	570A1808	2024-01-15	Reply@Specific Appraisals.com
Star Assistance	Closed-Won	4DA41612	2024-02-16	Reply@Star Assistance.com
Star Bright Investment Group	On-hold	AC63BFF3	2024-02-10	Reply@Star Bright Investment Group.com
Star Interior Design	Negotiation	9B811AEE	2024-01-17	Reply@Star Interior Design.com
Star Merchant Services	Referral	30A7C5BF	2024-02-12	Reply@Star Merchant Services.com
StopGrey	Closed-Lost	C9994D42	2024-01-06	Reply@StopGrey.com
Stratabiz	Disqualified	88E24B2E	2024-01-13	Reply@Stratabiz.com
Stratacard	In Progress	EC4F1FAF	2024-03-12	Reply@Stratacard.com
Stratagee	Proposal Sent	5AB79F0C	2024-04-08	Reply@Stratagee.com
Stratapro	Reengaged	D40501FF	2024-01-07	Reply@Stratapro.com
Strategic Profit	Closed-Won	33544B09	2024-01-27	Reply@Strategic Profit.com
Strategy Consulting	Disqualified	0BA86625	2024-03-13	Reply@Strategy Consulting.com
Strategy Planner	Referral	7E14AE7D	2024-04-29	Reply@Strategy Planner.com
Strength Gurus	New	4CEAF8CB	2024-02-10	Reply@Strength Gurus.com
Strongbod	Qualified	25AA829A	2024-02-27	Reply@Strongbod.com
Strong Life	Closed-Lost	25710F8B	2024-01-04	Reply@Strong Life.com
Suadela Investment	Referral	F608F89B	2024-01-10	Reply@Suadela Investment.com
Success Is Yours	Reengaged	4728966A	2024-04-12	Reply@Success Is Yours.com
Sunburst Garden Management	Negotiation	5EC645F4	2024-04-24	Reply@Sunburst Garden Management.com
Sunny Real Estate Investments	Warm 	576BFBA9	2024-04-16	Reply@Sunny Real Estate Investments.com
Superior Appraisals	On-hold	472BCF8A	2024-03-09	Reply@Superior Appraisals.com
Superior Interior Design	Cold	A8C8E11B	2024-03-20	Reply@Superior Interior Design.com
System Star	Reengaged	1D1C537B	2024-01-14	Reply@System Star.com
System Star Solutions	Closed-Lost	CA7A953A	2024-04-17	Reply@System Star Solutions.com
Target Realty	Nurturing	A889B115	2024-02-22	Reply@Target Realty.com
Target Source	Proposal Sent	2B24970B	2024-01-31	Reply@Target Source.com
