Company Name,Status,User Email,conversion_probability
Foot Locker,In Progress,Reply@Foot Locker.com,0.24
Aviator,Negotiation,Reply@Aviator.com,0.24
Forum Communications,Contacted,Reply@Forum Communications.com,0.23
Austrend International,On-hold,Reply@Austrend International.com,0.23
Skol,Nurturing,Reply@Skol.com,0.23
Woods Bagot,On-hold,Reply@Woods Bagot.com,0.23
Universal Design Partners,Qualified,Reply@Universal Design Partners.com,0.225
MySpace,On-hold,Reply@MySpace.com,0.22
Hana Bank,Warm ,Reply@Hana Bank.com,0.22
Similac,Contacted,Reply@Similac.com,0.22
Toyota,New,Reply@Toyota.com,0.22
Alumina Limited,In Progress,Reply@Alumina Limited.com,0.21833333333333332
Monk Home Funding Services,Warm ,Reply@Monk Home Funding Services.com,0.21
M&S,Qualified,Reply@M&S.com,0.21
Mauna Loa Macadamia Nut Corp.,Referral,Reply@Mauna Loa Macadamia Nut Corp..com,0.21
A1 Steak Sauce,Cold,Reply@A1 Steak Sauce.com,0.21
Aquafina,Referral,Reply@Aquafina.com,0.2
Chunghwa Telecom Co,Nurturing,Reply@Chunghwa Telecom Co.com,0.2
7-Eleven,Referral,Reply@7-Eleven.com,0.2
DaVita,Warm ,Reply@DaVita.com,0.2
Scotchgard,Negotiation,Reply@Scotchgard.com,0.2
Two Seasons,Cold,Reply@Two Seasons.com,0.2
Candy Land,Negotiation,Reply@Candy Land.com,0.2
World Airways,Cold,Reply@World Airways.com,0.19
Alert Alarm Company,Warm ,Reply@Alert Alarm Company.com,0.19
Fulinmen,On-hold,Reply@Fulinmen.com,0.19
Take-Two Interactive,Reengaged,Reply@Take-Two Interactive.com,0.19
Krackel,New,Reply@Krackel.com,0.19
Stella Artois,Nurturing,Reply@Stella Artois.com,0.19
Milka,Negotiation,Reply@Milka.com,0.18
China Life,Cold,Reply@China Life.com,0.18
Rite Solution,Proposal Sent,Reply@Rite Solution.com,0.18
Mazda,Qualified,Reply@Mazda.com,0.18
Star Interior Design,Negotiation,Reply@Star Interior Design.com,0.18
AbeBooks,In Progress,Reply@AbeBooks.com,0.18
Microsoft Office,Contacted,Reply@Microsoft Office.com,0.18
PicNet Pty Ltd,In Progress,Reply@PicNet Pty Ltd.com,0.18
Computershare,Closed-Lost,Reply@Computershare.com,0.18
Cordell Information,New,Reply@Cordell Information.com,0.18
U-Haul,Negotiation,Reply@U-Haul.com,0.18
Eggo,On-hold,Reply@Eggo.com,0.18
Aura,Nurturing,Reply@Aura.com,0.17
Rice Krispies,Cold,Reply@Rice Krispies.com,0.17
Sprint,Negotiation,Reply@Sprint.com,0.17
Estee Lauder,In Progress,Reply@Estee Lauder.com,0.17
Jackhammer Technologies,Referral,Reply@Jackhammer Technologies.com,0.17
Wet Ones,Cold,Reply@Wet Ones.com,0.17
Odd Molly,Disqualified,Reply@Odd Molly.com,0.17
X6,Reengaged,Reply@X6.com,0.17
Hong Kong Airlines,Nurturing,Reply@Hong Kong Airlines.com,0.17
NXP Semiconductors,Proposal Sent,Reply@NXP Semiconductors.com,0.17
Wing Wah,New,Reply@Wing Wah.com,0.16
ViewSonic,Qualified,Reply@ViewSonic.com,0.16
Sure,Referral,Reply@Sure.com,0.16
Foster's Lager,Closed-Lost,Reply@Foster's Lager.com,0.16
Budweiser,Cold,Reply@Budweiser.com,0.16
AirAsia,Negotiation,Reply@AirAsia.com,0.16
AWB Limited,Warm ,Reply@AWB Limited.com,0.16
Bimbo,Contacted,Reply@Bimbo.com,0.16
Vicodin,Cold,Reply@Vicodin.com,0.16
Bendigo Bank,Proposal Sent,Reply@Bendigo Bank.com,0.16
Brightpoint,Qualified,Reply@Brightpoint.com,0.16
Quality Merchant Services,In Progress,Reply@Quality Merchant Services.com,0.16
Charles Schwab,Proposal Sent,Reply@Charles Schwab.com,0.16
Foodland Supermarkets,Qualified,Reply@Foodland Supermarkets.com,0.1575
Elf,Closed-Lost,Reply@Elf.com,0.15571428571428572
Carnival Corporation & plc,Reengaged,Reply@Carnival Corporation & plc.com,0.15
Australian Securities Exchange,Proposal Sent,Reply@Australian Securities Exchange.com,0.15
Safeport Security,Qualified,Reply@Safeport Security.com,0.15
Bugles,Referral,Reply@Bugles.com,0.15
Want-Want,Disqualified,Reply@Want-Want.com,0.15
QuickTrip,Closed-Lost,Reply@QuickTrip.com,0.15
Krombacher,Negotiation,Reply@Krombacher.com,0.15
Air China,Warm ,Reply@Air China.com,0.15
Playboy,Reengaged,Reply@Playboy.com,0.15
Irish Spring,In Progress,Reply@Irish Spring.com,0.14
Belkin,Closed-Lost,Reply@Belkin.com,0.14
Dynatronics Accessories,Cold,Reply@Dynatronics Accessories.com,0.14
Alkane Exploration,Qualified,Reply@Alkane Exploration.com,0.14
iPhone,Disqualified,Reply@iPhone.com,0.14
Bluescope,Referral,Reply@Bluescope.com,0.14
Dow Chemical,Reengaged,Reply@Dow Chemical.com,0.14
Suncorp-Metway,Referral,Reply@Suncorp-Metway.com,0.14
Tarocash,Disqualified,Reply@Tarocash.com,0.14
Arizona Stock Exchange,Referral,Reply@Arizona Stock Exchange.com,0.14
Passat,Reengaged,Reply@Passat.com,0.14
Acropolis Rally,In Progress,Reply@Acropolis Rally.com,0.14
AMG,Reengaged,Reply@AMG.com,0.14
Nuvaring,Proposal Sent,Reply@Nuvaring.com,0.14
KahlÃºa,Referral,Reply@KahlÃºa.com,0.14
Straits Times,Closed-Lost,Reply@Straits Times.com,0.14
BBVA,Warm ,Reply@BBVA.com,0.14
Toll Holdings,Referral,Reply@Toll Holdings.com,0.14
Accell Group,Reengaged,Reply@Accell Group.com,0.136
CR-V,Reengaged,Reply@CR-V.com,0.135
Giordano International Limited,Cold,Reply@Giordano International Limited.com,0.13333333333333333
Nicorette,Qualified,Reply@Nicorette.com,0.132
i-flex Solutions,Cold,Reply@i-flex Solutions.com,0.13
Mike and Ike,Referral,Reply@Mike and Ike.com,0.13
Dreamscape Garden Care,On-hold,Reply@Dreamscape Garden Care.com,0.13
Brabus,Negotiation,Reply@Brabus.com,0.13
Dillard's,Closed-Lost,Reply@Dillard's.com,0.13
Flexus,Negotiation,Reply@Flexus.com,0.13
Kikki-K,Closed-Lost,Reply@Kikki-K.com,0.13
GCP Australia Ltd,Reengaged,Reply@GCP Australia Ltd.com,0.13
Cemig,Reengaged,Reply@Cemig.com,0.13
Chuck E. Cheese,Negotiation,Reply@Chuck E. Cheese.com,0.13
Hotels.com,Reengaged,Reply@Hotels.com.com,0.13
Silverton Rail,Closed-Lost,Reply@Silverton Rail.com,0.13
Cinemax,Cold,Reply@Cinemax.com,0.13
Maxim's Catering,New,Reply@Maxim's Catering.com,0.13
Australian Defence Industries,Proposal Sent,Reply@Australian Defence Industries.com,0.13
Advanced Processing & Imaging,Proposal Sent,Reply@Advanced Processing & Imaging.com,0.13
Mustang,Reengaged,Reply@Mustang.com,0.13
Latex Gloves,Proposal Sent,Reply@Latex Gloves.com,0.13
Lazzaroni,Referral,Reply@Lazzaroni.com,0.13
Informix,Closed-Lost,Reply@Informix.com,0.13
AirTran Holdings,Reengaged,Reply@AirTran Holdings.com,0.13
Fiskar's,Warm ,Reply@Fiskar's.com,0.13
Evga S.A.,Warm ,Reply@Evga S.A..com,0.13
5-Hour Energy,Closed-Lost,Reply@5-Hour Energy.com,0.13
Munchkin,Warm ,Reply@Munchkin.com,0.13
Four Leaf Clover,Closed-Lost,Reply@Four Leaf Clover.com,0.13
EVA Air,Reengaged,Reply@EVA Air.com,0.13
KBS,Negotiation,Reply@KBS.com,0.13
Brand Architecture,Disqualified,Reply@Brand Architecture.com,0.13
Marcolini,Contacted,Reply@Marcolini.com,0.13
Agriprocessors,In Progress,Reply@Agriprocessors.com,0.12833333333333333
Aamco,Proposal Sent,Reply@Aamco.com,0.12666666666666665
AirElite,Disqualified,Reply@AirElite.com,0.12583333333333335
Australian Ethical Investment,Closed-Lost,Reply@Australian Ethical Investment.com,0.125
BMC Software,Contacted,Reply@BMC Software.com,0.12333333333333334
Borders Group,Warm ,Reply@Borders Group.com,0.12
One-Up Realtors,Referral,Reply@One-Up Realtors.com,0.12
Oral-B,Qualified,Reply@Oral-B.com,0.12
Brinker International,Negotiation,Reply@Brinker International.com,0.12
Stratacard,In Progress,Reply@Stratacard.com,0.12
Diet Pepsi,Referral,Reply@Diet Pepsi.com,0.12
Avon,Contacted,Reply@Avon.com,0.12
Honey Bunches of Oat,Proposal Sent,Reply@Honey Bunches of Oat.com,0.12
Hua Xia Bank,Warm ,Reply@Hua Xia Bank.com,0.12
ITC,Contacted,Reply@ITC.com,0.12
Bank of Greece,Reengaged,Reply@Bank of Greece.com,0.12
Brandchannel,Negotiation,Reply@Brandchannel.com,0.12
Wealth Zone Group,Warm ,Reply@Wealth Zone Group.com,0.12
BP,In Progress,Reply@BP.com,0.12
Jumbo,On-hold,Reply@Jumbo.com,0.12
Total Network Development,New,Reply@Total Network Development.com,0.12
Anchor,Negotiation,Reply@Anchor.com,0.12
Kikkoman,New,Reply@Kikkoman.com,0.12
Ameriprise Financial,In Progress,Reply@Ameriprise Financial.com,0.12
Frooti,Referral,Reply@Frooti.com,0.12
Konica Minolta,Reengaged,Reply@Konica Minolta.com,0.12
Aveda,New,Reply@Aveda.com,0.12
Arch Coal,Referral,Reply@Arch Coal.com,0.12
MagiKLEEN Premium Products,Negotiation,Reply@MagiKLEEN Premium Products.com,0.12
Carebear,Disqualified,Reply@Carebear.com,0.12
Jil,In Progress,Reply@Jil.com,0.12
China Citic Bank,Nurturing,Reply@China Citic Bank.com,0.12
Thermacare,In Progress,Reply@Thermacare.com,0.12
Yellow,Negotiation,Reply@Yellow.com,0.12
300,On-hold,Reply@300.com,0.12
3M,Referral,Reply@3M.com,0.12
Singha,Negotiation,Reply@Singha.com,0.12
Wynn Resorts,Disqualified,Reply@Wynn Resorts.com,0.12
Red Cross,On-hold,Reply@Red Cross.com,0.12
Public Bank,Proposal Sent,Reply@Public Bank.com,0.12
Stanley,Cold,Reply@Stanley.com,0.12
International Business Machines (IBM),On-hold,Reply@International Business Machines (IBM).com,0.12
Westinghouse Digital LLC,Warm ,Reply@Westinghouse Digital LLC.com,0.12
Zimmer,Cold,Reply@Zimmer.com,0.12
Star Wars,Disqualified,Reply@Star Wars.com,0.12
Eni S.p.A.,Closed-Lost,Reply@Eni S.p.A..com,0.11666666666666665
Kohler,New,Reply@Kohler.com,0.115
Asics,Nurturing,Reply@Asics.com,0.11
Harley-Davidson,New,Reply@Harley-Davidson.com,0.11
Harley-Davidson,Reengaged,Reply@Harley-Davidson.com,0.11
Danaher,Contacted,Reply@Danaher.com,0.11
iRobot,New,Reply@iRobot.com,0.11
Testor Corporation,Cold,Reply@Testor Corporation.com,0.11
Sigma Company,Qualified,Reply@Sigma Company.com,0.11
Brand Name Research,Closed-Lost,Reply@Brand Name Research.com,0.11
Magic Chef,Closed-Lost,Reply@Magic Chef.com,0.11
Gerdau,Referral,Reply@Gerdau.com,0.11
Gagfah,Qualified,Reply@Gagfah.com,0.11
Sur La Table,Disqualified,Reply@Sur La Table.com,0.11
Mother Dairy,On-hold,Reply@Mother Dairy.com,0.11
Fage,Negotiation,Reply@Fage.com,0.11
Healtheries,Disqualified,Reply@Healtheries.com,0.11
Hefty,Warm ,Reply@Hefty.com,0.11
Intelli Wealth Group,New,Reply@Intelli Wealth Group.com,0.11
UTStarcom,Referral,Reply@UTStarcom.com,0.11
LG,Qualified,Reply@LG.com,0.11
Kelvinator,Disqualified,Reply@Kelvinator.com,0.11
Sports Illustrated,Qualified,Reply@Sports Illustrated.com,0.11
Jyske Bank,Referral,Reply@Jyske Bank.com,0.11
Tabasco,Proposal Sent,Reply@Tabasco.com,0.11
Freedom Map,Closed-Lost,Reply@Freedom Map.com,0.11
Jelly Belly,Cold,Reply@Jelly Belly.com,0.11
24-Hour Fitness Center,Closed-Lost,Reply@24-Hour Fitness Center.com,0.11
BYD,Nurturing,Reply@BYD.com,0.11
Strategy Planner,Referral,Reply@Strategy Planner.com,0.11
The North Face,Qualified,Reply@The North Face.com,0.11
ACCO Brands,Warm ,Reply@ACCO Brands.com,0.11
Barry's Tea,Disqualified,Reply@Barry's Tea.com,0.11
Vegemite,Qualified,Reply@Vegemite.com,0.11
ThinkPad,Cold,Reply@ThinkPad.com,0.11
Escalade,New,Reply@Escalade.com,0.11
Selters,Negotiation,Reply@Selters.com,0.11
Sanford,Negotiation,Reply@Sanford.com,0.11
Dollar Tree Stores,Closed-Lost,Reply@Dollar Tree Stores.com,0.11
Wing Lung Bank,New,Reply@Wing Lung Bank.com,0.11
Dentyne,Disqualified,Reply@Dentyne.com,0.11
Norma,Warm ,Reply@Norma.com,0.11
Rose's,Proposal Sent,Reply@Rose's.com,0.11
Centro Properties Group,Closed-Lost,Reply@Centro Properties Group.com,0.11
Airbus,Proposal Sent,Reply@Airbus.com,0.11
Crystal Light,Cold,Reply@Crystal Light.com,0.11
Onstar,Cold,Reply@Onstar.com,0.11
Crest,Negotiation,Reply@Crest.com,0.11
Cottonelle,Nurturing,Reply@Cottonelle.com,0.11
Cott,Negotiation,Reply@Cott.com,0.11
Naturohair,New,Reply@Naturohair.com,0.11
Xilence,Reengaged,Reply@Xilence.com,0.11
"Blyth, Inc.",Referral,"Reply@Blyth, Inc..com",0.11
Monmax,Closed-Lost,Reply@Monmax.com,0.11
Millenia Life,In Progress,Reply@Millenia Life.com,0.11
LeapFrog Enterprises,Closed-Lost,Reply@LeapFrog Enterprises.com,0.11
Carnation,Qualified,Reply@Carnation.com,0.11
Daimler,Reengaged,Reply@Daimler.com,0.11
WestJet,Warm ,Reply@WestJet.com,0.11
Electrolux,Warm ,Reply@Electrolux.com,0.11
Visual Obsession,On-hold,Reply@Visual Obsession.com,0.11
Walkabout,In Progress,Reply@Walkabout.com,0.11
AND1,On-hold,Reply@AND1.com,0.10666666666666666
7 For all Mankind,Nurturing,Reply@7 For all Mankind.com,0.10400000000000001
BreadTalk Group,On-hold,Reply@BreadTalk Group.com,0.10400000000000001
Tencent,Qualified,Reply@Tencent.com,0.10333333333333332
Baron Otard Cognacs,Warm ,Reply@Baron Otard Cognacs.com,0.1025
West Liberty Foods,Nurturing,Reply@West Liberty Foods.com,0.1
BFG Technologies,On-hold,Reply@BFG Technologies.com,0.1
L&L Hawaiian Barbecue,Nurturing,Reply@L&L Hawaiian Barbecue.com,0.1
University Games,Warm ,Reply@University Games.com,0.1
Uno,In Progress,Reply@Uno.com,0.1
Van Lanschot Baniers,Reengaged,Reply@Van Lanschot Baniers.com,0.1
Valtrex,Negotiation,Reply@Valtrex.com,0.1
Sun Life Financial Services,Closed-Lost,Reply@Sun Life Financial Services.com,0.1
Vacheron Constantin,Cold,Reply@Vacheron Constantin.com,0.1
Chef Boyardee,Closed-Lost,Reply@Chef Boyardee.com,0.1
BMW,Reengaged,Reply@BMW.com,0.1
ConnectEast,Closed-Lost,Reply@ConnectEast.com,0.1
Courvoisier,Qualified,Reply@Courvoisier.com,0.1
Sydbank,Referral,Reply@Sydbank.com,0.1
Flight Centre,Qualified,Reply@Flight Centre.com,0.1
Briggs & Stratton,Proposal Sent,Reply@Briggs & Stratton.com,0.1
Kcel,Warm ,Reply@Kcel.com,0.1
CCR,On-hold,Reply@CCR.com,0.1
Mercury Marine,New,Reply@Mercury Marine.com,0.1
Crown Lager,In Progress,Reply@Crown Lager.com,0.1
Energizer,On-hold,Reply@Energizer.com,0.1
Warner Brothers,Contacted,Reply@Warner Brothers.com,0.1
Bonne Bell,Warm ,Reply@Bonne Bell.com,0.1
Eden Lawn Service,Nurturing,Reply@Eden Lawn Service.com,0.1
The Library Corporation (TLC),Closed-Lost,Reply@The Library Corporation (TLC).com,0.1
Belle Ladi,Proposal Sent,Reply@Belle Ladi.com,0.1
Hannah Montana,In Progress,Reply@Hannah Montana.com,0.1
Goody's,On-hold,Reply@Goody's.com,0.1
Tux,Disqualified,Reply@Tux.com,0.1
Carnegie,Contacted,Reply@Carnegie.com,0.1
Devon Energy,Referral,Reply@Devon Energy.com,0.1
Dollar General,Closed-Lost,Reply@Dollar General.com,0.1
Hello Kitty,Warm ,Reply@Hello Kitty.com,0.1
Bisquick,New,Reply@Bisquick.com,0.1
DZ Bank AG,Qualified,Reply@DZ Bank AG.com,0.1
Toll House,Reengaged,Reply@Toll House.com,0.1
Wonderbra,Disqualified,Reply@Wonderbra.com,0.1
Dollar General,Reengaged,Reply@Dollar General.com,0.1
Arryx,Nurturing,Reply@Arryx.com,0.1
Unicharm,On-hold,Reply@Unicharm.com,0.1
Steelback Brewery,Contacted,Reply@Steelback Brewery.com,0.1
Physicians Formula,Cold,Reply@Physicians Formula.com,0.1
Autogrill,In Progress,Reply@Autogrill.com,0.1
Serta,Nurturing,Reply@Serta.com,0.1
Home City Ice Co.,On-hold,Reply@Home City Ice Co..com,0.1
Optus,New,Reply@Optus.com,0.1
Shout,On-hold,Reply@Shout.com,0.1
Midol,Negotiation,Reply@Midol.com,0.1
Sky High Financial Advice,In Progress,Reply@Sky High Financial Advice.com,0.1
Redken,In Progress,Reply@Redken.com,0.1
Plan Smart Partner,Cold,Reply@Plan Smart Partner.com,0.1
Liberty Medical,Cold,Reply@Liberty Medical.com,0.1
Aunt Jemima,Closed-Lost,Reply@Aunt Jemima.com,0.1
LensCrafters,Negotiation,Reply@LensCrafters.com,0.1
Rolodex,Disqualified,Reply@Rolodex.com,0.1
5,Negotiation,Reply@5.com,0.1
Gartner,Reengaged,Reply@Gartner.com,0.1
Fabrik Inc.,Nurturing,Reply@Fabrik Inc..com,0.1
W. R. Grace and Company,Cold,Reply@W. R. Grace and Company.com,0.09666666666666666
Luxottica,Proposal Sent,Reply@Luxottica.com,0.09666666666666666
Enviro Architectural Designs,Closed-Lost,Reply@Enviro Architectural Designs.com,0.09571428571428571
Accord,Negotiation,Reply@Accord.com,0.095
Always,Cold,Reply@Always.com,0.095
The Spotted Cougar,Negotiation,Reply@The Spotted Cougar.com,0.09083333333333332
NetZero,In Progress,Reply@NetZero.com,0.09
FrontLine,Warm ,Reply@FrontLine.com,0.09
Jackpot Consultant,New,Reply@Jackpot Consultant.com,0.09
ACE,Disqualified,Reply@ACE.com,0.09
Accenture,Proposal Sent,Reply@Accenture.com,0.09
DirecTV,Reengaged,Reply@DirecTV.com,0.09
New World,Reengaged,Reply@New World.com,0.09
Emcor,Nurturing,Reply@Emcor.com,0.09
Carter's,On-hold,Reply@Carter's.com,0.09
Carroten,Reengaged,Reply@Carroten.com,0.09
Ashley Furniture,Negotiation,Reply@Ashley Furniture.com,0.09
New World,Disqualified,Reply@New World.com,0.09
Rico Linhas AÃ©reas,Qualified,Reply@Rico Linhas AÃ©reas.com,0.09
Better Business Ideas and Services,Reengaged,Reply@Better Business Ideas and Services.com,0.09
WebMD,On-hold,Reply@WebMD.com,0.09
Uni-President,Disqualified,Reply@Uni-President.com,0.09
Symantec,New,Reply@Symantec.com,0.09
Nature's Path,Cold,Reply@Nature's Path.com,0.09
Repsol,Reengaged,Reply@Repsol.com,0.09
Wheaties,Reengaged,Reply@Wheaties.com,0.09
7Up,On-hold,Reply@7Up.com,0.09
Erie Insurance Group,Closed-Lost,Reply@Erie Insurance Group.com,0.09
Ansell,Reengaged,Reply@Ansell.com,0.09
Depo,Nurturing,Reply@Depo.com,0.09
Eastman Chemical Company,Closed-Lost,Reply@Eastman Chemical Company.com,0.09
HBO,Proposal Sent,Reply@HBO.com,0.09
Armani,Warm ,Reply@Armani.com,0.09
Hacky Sack,Qualified,Reply@Hacky Sack.com,0.09
Uwajimaya,In Progress,Reply@Uwajimaya.com,0.09
Hot Wheels,On-hold,Reply@Hot Wheels.com,0.09
Thins,New,Reply@Thins.com,0.09
Hyland Software,Cold,Reply@Hyland Software.com,0.09
Wise Appraisals,Closed-Lost,Reply@Wise Appraisals.com,0.09
Leffe,In Progress,Reply@Leffe.com,0.09
Jarden,Referral,Reply@Jarden.com,0.09
Lecker,Contacted,Reply@Lecker.com,0.09
Coca-Cola,Qualified,Reply@Coca-Cola.com,0.09
Affin Bank,Qualified,Reply@Affin Bank.com,0.09
Clue,Referral,Reply@Clue.com,0.09
Swiss Reinsurance Company Ltd,Contacted,Reply@Swiss Reinsurance Company Ltd.com,0.09
Ellininki Radiofonia Tileoriasi,Warm ,Reply@Ellininki Radiofonia Tileoriasi.com,0.09
Watco Companies,Qualified,Reply@Watco Companies.com,0.09
Kingston Technology,Disqualified,Reply@Kingston Technology.com,0.09
Clairol,Reengaged,Reply@Clairol.com,0.09
The White Swan,New,Reply@The White Swan.com,0.09
NASA,Cold,Reply@NASA.com,0.09
Zagori,New,Reply@Zagori.com,0.09
iiNet,Disqualified,Reply@iiNet.com,0.09
Ahold,Warm ,Reply@Ahold.com,0.09
Coleman,Closed-Lost,Reply@Coleman.com,0.09
Lipton,Referral,Reply@Lipton.com,0.09
Netstars Matrix Design,Contacted,Reply@Netstars Matrix Design.com,0.09
Bank One,Referral,Reply@Bank One.com,0.09
Austereo Radio Network,On-hold,Reply@Austereo Radio Network.com,0.09
Petsmart,Negotiation,Reply@Petsmart.com,0.09
Hovis,Qualified,Reply@Hovis.com,0.09
Fluor,Cold,Reply@Fluor.com,0.09
Contact Us,Cold,Reply@Contact Us.com,0.09
In.gr,Negotiation,Reply@In.gr.com,0.09
Cotton Inc.,Closed-Lost,Reply@Cotton Inc..com,0.09
Texaco,Reengaged,Reply@Texaco.com,0.0875
Apivita,Warm ,Reply@Apivita.com,0.08666666666666668
Toshiba,New,Reply@Toshiba.com,0.08583333333333332
Castablast,Nurturing,Reply@Castablast.com,0.085
Galant,On-hold,Reply@Galant.com,0.085
Clear Channel Communications,Reengaged,Reply@Clear Channel Communications.com,0.08333333333333334
Clear Channel Communications,Nurturing,Reply@Clear Channel Communications.com,0.08333333333333334
Scion,Qualified,Reply@Scion.com,0.08333333333333331
KitchenAid,Warm ,Reply@KitchenAid.com,0.083
AIS,Disqualified,Reply@AIS.com,0.08
Virgin,Qualified,Reply@Virgin.com,0.08
Nanyang Commercial Bank,Closed-Lost,Reply@Nanyang Commercial Bank.com,0.08
Viagra,Warm ,Reply@Viagra.com,0.08
CPFL,Nurturing,Reply@CPFL.com,0.08
Assurant,Proposal Sent,Reply@Assurant.com,0.08
Aspyr Media,Contacted,Reply@Aspyr Media.com,0.08
EasyShare,Proposal Sent,Reply@EasyShare.com,0.08
Red Bull,In Progress,Reply@Red Bull.com,0.08
Duratex,Reengaged,Reply@Duratex.com,0.08
XM Radio,Cold,Reply@XM Radio.com,0.08
Chemeq,Referral,Reply@Chemeq.com,0.08
Paxil,In Progress,Reply@Paxil.com,0.08
Citics,Contacted,Reply@Citics.com,0.08
Cheez Whiz,In Progress,Reply@Cheez Whiz.com,0.08
Coldwell Bank,Proposal Sent,Reply@Coldwell Bank.com,0.08
Comfort Flex Waistband,New,Reply@Comfort Flex Waistband.com,0.08
Challenger,Disqualified,Reply@Challenger.com,0.08
Patrick Corporation,Proposal Sent,Reply@Patrick Corporation.com,0.08
Corona,Qualified,Reply@Corona.com,0.08
DuPont,Disqualified,Reply@DuPont.com,0.08
Ovaltine,Referral,Reply@Ovaltine.com,0.08
Caterpillar,Closed-Lost,Reply@Caterpillar.com,0.08
Northwestern Mutual,New,Reply@Northwestern Mutual.com,0.08
Davidoff,New,Reply@Davidoff.com,0.08
Dell,Negotiation,Reply@Dell.com,0.08
DenTek,Disqualified,Reply@DenTek.com,0.08
New York Life Insurance,New,Reply@New York Life Insurance.com,0.08
Wesfarmers,On-hold,Reply@Wesfarmers.com,0.08
Equal,Cold,Reply@Equal.com,0.08
Dynegy,Qualified,Reply@Dynegy.com,0.08
Silicon Image,New,Reply@Silicon Image.com,0.08
Mercury Insurance,On-hold,Reply@Mercury Insurance.com,0.08
Gucci,Qualified,Reply@Gucci.com,0.08
Blackmore,Nurturing,Reply@Blackmore.com,0.08
Six Apart,Reengaged,Reply@Six Apart.com,0.08
VapoRub,Cold,Reply@VapoRub.com,0.08
M&M's,Reengaged,Reply@M&M's.com,0.08
Bergstein Entertainment,Qualified,Reply@Bergstein Entertainment.com,0.08
Hopewell Holdings,Negotiation,Reply@Hopewell Holdings.com,0.08
Beanie Babies,Nurturing,Reply@Beanie Babies.com,0.08
Lufthansa,Proposal Sent,Reply@Lufthansa.com,0.08
Australian Biodiesel Group Limited,In Progress,Reply@Australian Biodiesel Group Limited.com,0.08
Stratagee,Proposal Sent,Reply@Stratagee.com,0.08
The Yellow Pages,Negotiation,Reply@The Yellow Pages.com,0.08
Band-Aid,Nurturing,Reply@Band-Aid.com,0.08
Team and Concepts Limited,On-hold,Reply@Team and Concepts Limited.com,0.08
Banco Safra,Referral,Reply@Banco Safra.com,0.08
3 Musketeers,Referral,Reply@3 Musketeers.com,0.08
Taj,Qualified,Reply@Taj.com,0.08
Future Plan,Reengaged,Reply@Future Plan.com,0.08
Zune,Referral,Reply@Zune.com,0.08
TV Guide,Negotiation,Reply@TV Guide.com,0.08
Sports Authority,Negotiation,Reply@Sports Authority.com,0.08
Hoyden,Referral,Reply@Hoyden.com,0.08
LAN Airlines,Closed-Lost,Reply@LAN Airlines.com,0.08
Stove Top,New,Reply@Stove Top.com,0.08
