Company,Days Since Last Feedback,Current Lead Status,Last Contact Date,Optimal Outreach Window,Recommended Action
Ideal Garden Maintenance,221,Closed-Lost,2024-03-04,2024-12-12,Proactive outreach needed
Ideal Garden Management,218,Closed-Lost,2024-02-23,2024-12-12,Proactive outreach needed
Incluesiv,218,Referral,2024-04-06,2024-12-12,Proactive outreach needed
Independent Investors,218,Warm ,2024-02-05,2024-12-12,Proactive outreach needed
Independent Wealth Management,218,Closed-Lost,2024-01-21,2024-12-12,Proactive outreach needed
Indiewealth,221,Closed-Won,2024-03-04,2024-12-12,Proactive outreach needed
Infinite Wealth,219,Cold,2024-04-02,2024-12-12,Proactive outreach needed
Infinite Wealth Planners,225,Nurturing,2024-02-29,2024-12-12,Proactive outreach needed
Infinity Investment Plan,229,Warm ,2024-02-08,2024-12-12,Proactive outreach needed
Integra Design,222,New,2024-03-06,2024-12-12,Proactive outreach needed
Integra Investment Plan,220,Proposal Sent,2024-04-24,2024-12-12,Proactive outreach needed
Integra Investment Service,218,Warm ,2024-03-22,2024-12-12,Proactive outreach needed
Integra Wealth,224,Contacted,2024-02-04,2024-12-12,Proactive outreach needed
Integra Wealth Planners,219,Warm ,2024-02-21,2024-12-12,Proactive outreach needed
Intelacard,220,Closed-Lost,2024-04-03,2024-12-12,Proactive outreach needed
Intelli Wealth Group,219,New,2024-03-31,2024-12-12,Proactive outreach needed
Jackhammer Technologies,235,Referral,2024-01-05,2024-12-12,Proactive outreach needed
Jackpot Consultant,218,New,2024-01-11,2024-12-12,Proactive outreach needed
Just For Fun,221,Closed-Lost,2024-04-11,2024-12-12,Proactive outreach needed
Knockout Kickboxing,218,Disqualified,2024-02-24,2024-12-12,Proactive outreach needed
Komerci,230,Disqualified,2024-02-10,2024-12-12,Proactive outreach needed
Konsili,226,Warm ,2024-03-10,2024-12-12,Proactive outreach needed
Landskip Yard Care,226,Disqualified,2024-02-20,2024-12-12,Proactive outreach needed
Landskip Yard Service,219,Nurturing,2024-01-19,2024-12-12,Proactive outreach needed
Las Vegas Yard Management,227,Nurturing,2024-02-06,2024-12-12,Proactive outreach needed
Lawn N' Order Garden Care,218,New,2024-01-22,2024-12-12,Proactive outreach needed
Lawnscape Garden Maintenance,219,Cold,2024-03-17,2024-12-12,Proactive outreach needed
Lazysize,220,New,2024-01-06,2024-12-12,Proactive outreach needed
Libera,221,New,2024-01-21,2024-12-12,Proactive outreach needed
Liberty Wealth Planner,221,Closed-Lost,2024-02-03,2024-12-12,Proactive outreach needed
Liberty Wealth Planners,219,Contacted,2024-01-01,2024-12-12,Proactive outreach needed
Life Map,219,Reengaged,2024-04-30,2024-12-12,Proactive outreach needed
Life Map Planners,218,Proposal Sent,2024-03-25,2024-12-12,Proactive outreach needed
Life Plan Counselling,220,Cold,2024-01-09,2024-12-12,Proactive outreach needed
Life's Gold,219,Closed-Lost,2024-01-18,2024-12-12,Proactive outreach needed
Listen Up,223,On-hold,2024-03-29,2024-12-12,Proactive outreach needed
Locost Accessories,220,Negotiation,2024-03-30,2024-12-12,Proactive outreach needed
Lone Wolf Wealth Planning,220,Qualified,2024-01-31,2024-12-12,Proactive outreach needed
Macroserve,221,Nurturing,2024-02-24,2024-12-12,Proactive outreach needed
Magna Architectural Design,219,New,2024-03-19,2024-12-12,Proactive outreach needed
Magna Consulting,223,Qualified,2024-01-21,2024-12-12,Proactive outreach needed
Magna Solution,226,Proposal Sent,2024-04-21,2024-12-12,Proactive outreach needed
Matrix Architectural Service,218,Negotiation,2024-03-28,2024-12-12,Proactive outreach needed
Magik Gray,235,New,2024-03-18,2024-12-12,Proactive outreach needed
Magik Grey,218,Proposal Sent,2024-02-29,2024-12-12,Proactive outreach needed
Magik Lamp,221,Proposal Sent,2024-04-09,2024-12-12,Proactive outreach needed
Magna Gases,233,Negotiation,2024-01-30,2024-12-12,Proactive outreach needed
Magna Wealth,219,Negotiation,2024-04-15,2024-12-12,Proactive outreach needed
MagnaSolution,226,On-hold,2024-03-26,2024-12-12,Proactive outreach needed
ManCharm,223,Closed-Won,2024-02-21,2024-12-12,Proactive outreach needed
ManPower,218,Reengaged,2024-03-27,2024-12-12,Proactive outreach needed
Manu Connection,219,Proposal Sent,2024-01-11,2024-12-12,Proactive outreach needed
Maxaprofit,230,Reengaged,2024-01-05,2024-12-12,Proactive outreach needed
Master Builder Design Services,220,Negotiation,2024-02-10,2024-12-12,Proactive outreach needed
Matrix Design,219,Closed-Won,2024-04-28,2024-12-12,Proactive outreach needed
Matrix Interior Design,219,Disqualified,2024-02-17,2024-12-12,Proactive outreach needed
Maxi-Tech,219,New,2024-03-24,2024-12-12,Proactive outreach needed
Maxiserve,220,Disqualified,2024-02-17,2024-12-12,Proactive outreach needed
MegaSolutions,219,Contacted,2024-04-06,2024-12-12,Proactive outreach needed
Megatronic,218,Referral,2024-01-06,2024-12-12,Proactive outreach needed
Megatronic Plus,219,Nurturing,2024-04-04,2024-12-12,Proactive outreach needed
Merrymaking,220,New,2024-03-07,2024-12-12,Proactive outreach needed
Micro Design,219,On-hold,2024-01-21,2024-12-12,Proactive outreach needed
Mikro Designs,221,Closed-Won,2024-04-02,2024-12-12,Proactive outreach needed
Mikrotechnic,233,Negotiation,2024-02-28,2024-12-12,Proactive outreach needed
Millenia Life,221,In Progress,2024-03-16,2024-12-12,Proactive outreach needed
Mission G,234,Disqualified,2024-02-21,2024-12-12,Proactive outreach needed
Mission Realty,219,Disqualified,2024-04-18,2024-12-12,Proactive outreach needed
Mission You,221,Proposal Sent,2024-02-02,2024-12-12,Proactive outreach needed
Modern Architecture Design,220,New,2024-04-14,2024-12-12,Proactive outreach needed
Modern Realty,219,Closed-Won,2024-03-17,2024-12-12,Proactive outreach needed
Monit,218,Warm ,2024-01-30,2024-12-12,Proactive outreach needed
Monlinks,220,Warm ,2024-03-05,2024-12-12,Proactive outreach needed
Monk Home Funding Services,237,Warm ,2024-03-30,2024-12-12,Proactive outreach needed
Monk Home Improvements,223,Warm ,2024-04-27,2024-12-12,Proactive outreach needed
Monk Home Loans,224,New,2024-03-28,2024-12-12,Proactive outreach needed
Monk House Maker,218,Disqualified,2024-03-07,2024-12-12,Proactive outreach needed
Monk House Sales,218,Nurturing,2024-02-12,2024-12-12,Proactive outreach needed
Monk Real Estate Service,218,Contacted,2024-03-25,2024-12-12,Proactive outreach needed
Monmax,223,Closed-Lost,2024-04-15,2024-12-12,Proactive outreach needed
Monsource,218,Referral,2024-02-06,2024-12-12,Proactive outreach needed
Multi-Systems Merchant Services,231,New,2024-01-20,2024-12-12,Proactive outreach needed
Multi Tech Development,219,Referral,2024-04-23,2024-12-12,Proactive outreach needed
Multicerv,220,New,2024-01-20,2024-12-12,Proactive outreach needed
Muscle Factory,218,Closed-Lost,2024-02-11,2024-12-12,Proactive outreach needed
Naturohair,221,New,2024-02-04,2024-12-12,Proactive outreach needed
Netaid,226,Referral,2024-03-24,2024-12-12,Proactive outreach needed
Netobill,227,Warm ,2024-01-17,2024-12-12,Proactive outreach needed
Netcom Business Services,218,Referral,2024-04-04,2024-12-12,Proactive outreach needed
Netcore,219,Closed-Won,2024-04-22,2024-12-12,Proactive outreach needed
Netstars Matrix Design,230,Contacted,2024-01-28,2024-12-12,Proactive outreach needed
Network Air,226,Closed-Lost,2024-01-09,2024-12-12,Proactive outreach needed
New World,220,Reengaged,2024-04-15,2024-12-12,Proactive outreach needed
New World Realty,227,Nurturing,2024-03-27,2024-12-12,Proactive outreach needed
Newhair,222,Warm ,2024-02-23,2024-12-12,Proactive outreach needed
Northern Star,224,Closed-Lost,2024-02-09,2024-12-12,Proactive outreach needed
Nutri G,221,Disqualified,2024-01-18,2024-12-12,Proactive outreach needed
Omni Architectural Designs,223,Warm ,2024-03-06,2024-12-12,Proactive outreach needed
Omni Realty,219,Cold,2024-01-17,2024-12-12,Proactive outreach needed
Omni Source,220,Disqualified,2024-01-27,2024-12-12,Proactive outreach needed
Omni Tech,221,Reengaged,2024-04-19,2024-12-12,Proactive outreach needed
Omni Tech Solutions,224,Warm ,2024-02-18,2024-12-12,Proactive outreach needed
One-Up Realtors,219,Referral,2024-03-04,2024-12-12,Proactive outreach needed
One-Up Realty,225,Closed-Won,2024-03-17,2024-12-12,Proactive outreach needed
Opti-Tek,220,Disqualified,2024-04-26,2024-12-12,Proactive outreach needed
Opticomp,219,Warm ,2024-03-31,2024-12-12,Proactive outreach needed
Orion,218,Cold,2024-03-10,2024-12-12,Proactive outreach needed
Parts and Pieces,229,Closed-Won,2024-02-20,2024-12-12,Proactive outreach needed
Alaska Air Group,224,Warm ,2024-01-24,2024-12-12,Proactive outreach needed
Pearl Architectural Design,222,Closed-Won,2024-01-20,2024-12-12,Proactive outreach needed
Perisolution,218,Closed-Won,2024-04-18,2024-12-12,Proactive outreach needed
Personal & Corporate Design,219,Reengaged,2024-02-07,2024-12-12,Proactive outreach needed
Plan Future,225,In Progress,2024-01-11,2024-12-12,Proactive outreach needed
Plan Smart,227,In Progress,2024-02-25,2024-12-12,Proactive outreach needed
Plan Smart Partner,218,Cold,2024-01-04,2024-12-12,Proactive outreach needed
Planet Profit,220,Contacted,2024-04-05,2024-12-12,Proactive outreach needed
Planetbiz,235,Contacted,2024-01-24,2024-12-12,Proactive outreach needed
Platinum Interior Design,219,Warm ,2024-04-09,2024-12-12,Proactive outreach needed
Pointers,221,Negotiation,2024-03-06,2024-12-12,Proactive outreach needed
Powerbod,220,On-hold,2024-02-07,2024-12-12,Proactive outreach needed
Practi-Plan,229,New,2024-02-02,2024-12-12,Proactive outreach needed
Practi-Plan Mapping,218,Disqualified,2024-01-02,2024-12-12,Proactive outreach needed
Prahject Planner,220,Proposal Sent,2024-01-15,2024-12-12,Proactive outreach needed
Prestiga-Biz,219,Nurturing,2024-01-25,2024-12-12,Proactive outreach needed
Prestigabiz,218,On-hold,2024-01-19,2024-12-12,Proactive outreach needed
Pro-Care Garden Maintenance,223,Cold,2024-01-26,2024-12-12,Proactive outreach needed
Pro Garden Management,220,Referral,2024-04-29,2024-12-12,Proactive outreach needed
Pro Property Maintenance,219,Closed-Won,2024-02-09,2024-12-12,Proactive outreach needed
Pro Star,219,Proposal Sent,2024-01-17,2024-12-12,Proactive outreach needed
Pro Star Garden Management,224,Closed-Lost,2024-04-22,2024-12-12,Proactive outreach needed
Pro Yard Services,232,Qualified,2024-03-24,2024-12-12,Proactive outreach needed
Profitpros,231,In Progress,2024-04-29,2024-12-12,Proactive outreach needed
Prospa-Pal,221,Negotiation,2024-02-16,2024-12-12,Proactive outreach needed
Protean,223,New,2024-01-10,2024-12-12,Proactive outreach needed
Quality Event Planner,218,On-hold,2024-02-08,2024-12-12,Proactive outreach needed
Quality Merchant Services,218,In Progress,2024-03-02,2024-12-12,Proactive outreach needed
Quality Realty Service,218,Reengaged,2024-03-03,2024-12-12,Proactive outreach needed
Quest Technology Service,219,Reengaged,2024-01-13,2024-12-12,Proactive outreach needed
Quickbiz,219,Qualified,2024-01-03,2024-12-12,Proactive outreach needed
Rainbow Life,221,Disqualified,2024-03-05,2024-12-12,Proactive outreach needed
Realty Depot,220,Disqualified,2024-03-30,2024-12-12,Proactive outreach needed
Realty Solution,227,Cold,2024-01-07,2024-12-12,Proactive outreach needed
Realty Zone,219,On-hold,2024-04-30,2024-12-12,Proactive outreach needed
Red Bears Tavern,218,Negotiation,2024-02-13,2024-12-12,Proactive outreach needed
Red Fox Tavern,222,Nurturing,2024-01-09,2024-12-12,Proactive outreach needed
Reliable Garden Management,219,Closed-Lost,2024-01-25,2024-12-12,Proactive outreach needed
Reliable Guidance,219,In Progress,2024-03-08,2024-12-12,Proactive outreach needed
Reliable Investments,227,Nurturing,2024-01-13,2024-12-12,Proactive outreach needed
Rich and Happy,222,Closed-Lost,2024-04-10,2024-12-12,Proactive outreach needed
Rite Solution,224,Proposal Sent,2024-01-11,2024-12-12,Proactive outreach needed
Rivera Property Maintenance,225,Contacted,2024-01-17,2024-12-12,Proactive outreach needed
Road Runner Lawn Services,238,Disqualified,2024-01-12,2024-12-12,Proactive outreach needed
Romp,226,New,2024-04-21,2024-12-12,Proactive outreach needed
Royal Gas,222,Contacted,2024-02-20,2024-12-12,Proactive outreach needed
Sexy Babe,227,Cold,2024-01-25,2024-12-12,Proactive outreach needed
Seksi Ladi,219,Referral,2024-01-14,2024-12-12,Proactive outreach needed
Seksi Lady,220,Disqualified,2024-04-29,2024-12-12,Proactive outreach needed
Sexsi Senorita,232,Closed-Lost,2024-04-30,2024-12-12,Proactive outreach needed
Sky High Financial Advice,219,In Progress,2024-04-16,2024-12-12,Proactive outreach needed
Signa Air,219,Negotiation,2024-01-13,2024-12-12,Proactive outreach needed
Simple Solutions,221,Warm ,2024-01-04,2024-12-12,Proactive outreach needed
Simply Appraisals,219,Proposal Sent,2024-04-16,2024-12-12,Proactive outreach needed
Simply Save,221,Qualified,2024-01-15,2024-12-12,Proactive outreach needed
Sistemos,221,Referral,2024-04-23,2024-12-12,Proactive outreach needed
Solid Future,220,Referral,2024-03-09,2024-12-12,Proactive outreach needed
Solution Answers,228,Negotiation,2024-02-22,2024-12-12,Proactive outreach needed
Solution Bridge,223,Proposal Sent,2024-04-19,2024-12-12,Proactive outreach needed
Solution Realty,235,In Progress,2024-02-04,2024-12-12,Proactive outreach needed
Specific Appraisals,225,Nurturing,2024-01-15,2024-12-12,Proactive outreach needed
Star Assistance,218,Closed-Won,2024-02-16,2024-12-12,Proactive outreach needed
Star Bright Investment Group,218,On-hold,2024-02-10,2024-12-12,Proactive outreach needed
Star Interior Design,230,Negotiation,2024-01-17,2024-12-12,Proactive outreach needed
Star Merchant Services,229,Referral,2024-02-12,2024-12-12,Proactive outreach needed
StopGrey,225,Closed-Lost,2024-01-06,2024-12-12,Proactive outreach needed
Stratabiz,218,Disqualified,2024-01-13,2024-12-12,Proactive outreach needed
Stratacard,221,In Progress,2024-03-12,2024-12-12,Proactive outreach needed
Stratagee,219,Proposal Sent,2024-04-08,2024-12-12,Proactive outreach needed
Stratapro,218,Reengaged,2024-01-07,2024-12-12,Proactive outreach needed
Strategic Profit,230,Closed-Won,2024-01-27,2024-12-12,Proactive outreach needed
Strategy Consulting,218,Disqualified,2024-03-13,2024-12-12,Proactive outreach needed
Strategy Planner,222,Referral,2024-04-29,2024-12-12,Proactive outreach needed
Strength Gurus,223,New,2024-02-10,2024-12-12,Proactive outreach needed
Strongbod,218,Qualified,2024-02-27,2024-12-12,Proactive outreach needed
Strong Life,225,Closed-Lost,2024-01-04,2024-12-12,Proactive outreach needed
Suadela Investment,222,Referral,2024-01-10,2024-12-12,Proactive outreach needed
Success Is Yours,219,Reengaged,2024-04-12,2024-12-12,Proactive outreach needed
Sunburst Garden Management,218,Negotiation,2024-04-24,2024-12-12,Proactive outreach needed
Sunny Real Estate Investments,220,Warm ,2024-04-16,2024-12-12,Proactive outreach needed
Superior Appraisals,230,On-hold,2024-03-09,2024-12-12,Proactive outreach needed
Superior Interior Design,224,Cold,2024-03-20,2024-12-12,Proactive outreach needed
System Star,228,Reengaged,2024-01-14,2024-12-12,Proactive outreach needed
System Star Solutions,221,Closed-Lost,2024-04-17,2024-12-12,Proactive outreach needed
Target Realty,219,Nurturing,2024-02-22,2024-12-12,Proactive outreach needed
Target Source,219,Proposal Sent,2024-01-31,2024-12-12,Proactive outreach needed
Team Designers and Associates,224,On-hold,2024-01-19,2024-12-12,Proactive outreach needed
Team Uno,226,Disqualified,2024-03-28,2024-12-12,Proactive outreach needed
Techo Solutions,222,Proposal Sent,2024-04-22,2024-12-12,Proactive outreach needed
Terra,225,Reengaged,2024-03-02,2024-12-12,Proactive outreach needed
Terra Nova Garden Services,221,Negotiation,2024-02-13,2024-12-12,Proactive outreach needed
The Flying Bear,231,Closed-Lost,2024-05-01,2024-12-12,Proactive outreach needed
The Fox and Hound,222,Disqualified,2024-01-22,2024-12-12,Proactive outreach needed
The Flying Hippo,223,Contacted,2024-03-19,2024-12-12,Proactive outreach needed
The Goose and Duck,239,Nurturing,2024-03-31,2024-12-12,Proactive outreach needed
The Happy Bear,222,Closed-Lost,2024-03-26,2024-12-12,Proactive outreach needed
The High Heelers,222,Closed-Won,2024-01-29,2024-12-12,Proactive outreach needed
The Independent Planners,218,Warm ,2024-04-04,2024-12-12,Proactive outreach needed
The Jolly Farmer,219,Referral,2024-02-06,2024-12-12,Proactive outreach needed
The Lawn Guru,218,Warm ,2024-02-14,2024-12-12,Proactive outreach needed
The Network Chef,237,Nurturing,2024-04-08,2024-12-12,Proactive outreach needed
The Pink Pig Tavern,220,New,2024-04-14,2024-12-12,Proactive outreach needed
The Polka Dot Bear Tavern,218,Reengaged,2024-02-10,2024-12-12,Proactive outreach needed
The Serendipity Dip,219,Nurturing,2024-02-08,2024-12-12,Proactive outreach needed
